uuid,名称,发生月份,主要群体
2d8d73b3-9aeb-5326-84f0-2ca8185cebee,期末考试周,1月|6月,全体学生
5f5cb3d0-e8b2-51e2-87c0-e1c473c4947a,秋招季,9月|10月|11月,大四学生
86550c14-74b0-57fb-978a-5f8bf3bdc3e2,刚入学的军训,9月,大一新生
a1d619db-88ae-5f36-8bc9-4c10fc5ce7bc,毕业季,6月,应届毕业生
c3a7f8e1-4b2d-4c5a-9f1e-8d2a3b4c5d6e,全国硕士研究生招生考试(初试),12月,考研学生
f7b2c9a4-1d3e-4f5b-8a6c-7e9d0b1c2a3f,全国大学生英语四六级考试,6月|12月,大二及以上学生
e8d1a2b3-5c4f-4e6a-9b7d-8c9f0a1b2c3d,教师资格证统一笔试,3月|10月,师范生及考证群体
b5c6d7e8-2f1a-4b3c-9e0d-1a2b3c4d5e6f,百团大战(学生社团招新),9月|10月,大一新生
d4e5f6a7-3b2c-4d1e-8f9a-0b1c2d3e4f5a,毕业论文(设计)答辩,5月,应届毕业生
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,春季校园双选会(春招),3月|4月,应届毕业生
9f8e7d6c-5b4a-4321-0a1b-2c3d4e5f6a7b,奖助学金及评优评先评定,9月|10月,全体学生
1a2b3c4d-5e6f-7a8b-9c0d-e1f2a3b4c5d6,5·25大学生心理健康月,5月,全体学生
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,河南省专升本考试,4月,专科毕业生
3d4e5f6a-7b8c-9d0e-1f2a-3b4c5d6e7f8a,许昌学院春季田径运动会,4月|5月,全体学生