uuid,名称,开放时间,负责人
7e59fb11-9fb3-5853-b46e-9f25a0d15ba4,羽飞操场,全天,保卫处
1fa155a3-f78c-5a02-817d-108a4df583a1,心理咨询室(行政楼301),周一至周五 9:00-17:00,王老师
6bf44786-0ca6-5b33-90de-2ce6f69ac734,心理圆桌讨论室,周二/周四 14:00-16:00,李老师
8fc87d0e-41a4-5210-b373-2bbf8690a768,启明校心协办公室,18:00-21:00,学生会心协
f3b9c1a2-5e4d-6a7b-8c9d-0e1f2a3b4c5d,大学生心理健康教育与咨询中心(主干预区),周一至周五 8:30-17:30,中心主任
a1b2c3d4-e5f6-4a5b-6c7d-8e9f0a1b2c3d,情绪宣泄室(击打/呐喊区),工作日需提前1天预约,值班心理助理
9e8d7c6b-5a4b-3c2d-1e0f-a1b2c3d4e5f6,音乐放松与生物反馈室,周一、三、五下午,张老师
5d4c3b2a-1e0f-9d8c-7b6a-5f4e3d2c1b0a,沙盘游戏与箱庭治疗室,仅限咨询师陪同开放,专职咨询师
1a2b3c4d-5e6f-7a8b-9c0d-e1f2a3b4c5d6,弘毅广场(校园散步区),全天,后勤管理处
d4e5f6a7-3b2c-4d1e-8f9a-0b1c2d3e4f5a,一站式学生社区谈心室,全天(联系本院辅导员),各学院辅导员
c3a7f8e1-4b2d-4c5a-9f1e-8d2a3b4c5d6e,图书馆静音考研自习室,6:30-22:30,图书馆管理处
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,大学生活动中心多功能厅,依社团活动时间开放,团委
3d4e5f6a-7b8c-9d0e-1f2a-3b4c5d6e7f8a,体育馆(羽毛球/乒乓球馆),14:00-21:00,体育学院
e8d1a2b3-5c4f-4e6a-9b7d-8c9f0a1b2c3d,静心湖畔凉亭(冥想/独处区),全天,后勤管理处
b5c6d7e8-2f1a-4b3c-9e0d-1a2b3c4d5e6f,校医院精神/心理卫生科,周一至周五全天,校医院主治医师